text,gst,Sheet1 comparison,Sheet1 row,,Comparison summary,Result
hurry,h-e-r-e,Match,174,,,
I,a,Match,175,,,
I am,a-m,Match,176,,,
I have,a-v,Match,177,,,
I will be,a-l-b,Match,178,,,
I would,a-d,Match,179,,,
if,e-f,Match,180,,,
if the,e-f-th,Match,181,,,
ill,e-l,Match,182,,,
illness,e-l-n-e-s,Match,183,,,
immense,e-mn-s,Match,184,,,
important,m-p,Match,185,,,
in,n,Match,186,,,
ink,e-nk,Match,187,,,
inn,e-n,Match,188,,,
is,s,Match,189,,,
is the,s2-th,Match,190,,,
it,t,Match,191,,,
it was,t-o-s,Match,192,,,
jail,j-a-l,Match,193,,,
jealous,j-e-l-u-s,Match,194,,,
job,j-o-b,Match,195,,,
jockey,j-o-k-e,Match,196,,,
join,j-o-e-n,Match,197,,,
king,k-e-ng,Match,198,,,
kitchen,k-e-ch-n,Match,199,,,
knew,n-u,Match,200,,,
know,n-o,Match,201,,,
labor,l-a-b-r,Match,202,,,
lack,l-a-k,Match,203,,,
lake,l-a-k,Match,204,,,
lap,l-a-p,Match,205,,,
least,l-e-s2-t,Match,206,,,
lecture,l-e-k-t-r,Match,207,,,
less,l-e-s,Match,208,,,
library,l-i-b-r-r-e,Match,209,,,
lie,l-i,Match,210,,,
link,l-e-nk,Match,211,,,
lose,l-u-s,Match,212,,,
lot,l-o-t,Match,213,,,
lower,l-o-r,Match,214,,,
lumber,l-m-b-r,Match,215,,,
lunch,l-n-ch,Match,216,,,
made,m-a-d,Match,217,,,
maid,m-a-d,Match,218,,,
mailed,m-a2-ld,Match,219,,,
make,m-a-k,Match,220,,,
many,mn-e,Match,221,,,
marine,m-a-r-e-n,Match,222,,,
married,m-a-r-e-d,Match,223,,,
mass,m-a-s,Match,224,,,
me,m-e,Match,225,,,
meal,m-e-l,Match,226,,,
meat,m-e-t,Match,227,,,
meet,m-e-t,Match,228,,,
mention,mn-sh,Match,229,,,
metal,m-e-t-l,Match,230,,,
middle,m-e-d-l,Match,231,,,
mine,m-i-n,Match,232,,,
moment,m-o-m,Match,233,,,
moon,m-u-n,Match,234,,,
music,m-u-s2-e-k,Match,235,,,
narrow,n-a-r-o,Match,236,,,
national,n-a-sh-l,Match,237,,,
neat,n-e-t,Match,238,,,
needed,n-e-td,Match,239,,,
nest,n-e-s-t,Match,240,,,
new,n-u,Match,241,,,
nicely,n-i-s-e,Match,242,,,
no,n-o,Match,243,,,
noisy,n-o-e-s-e,Match,244,,,
nonsense,n-o-n-s2-e-n-s,Match,245,,,
noon,n-u-n,Match,246,,,
nor,n-o-r,Match,247,,,
noted,n-o-td,Match,248,,,
now,n-a-u,Match,249,,,
nurse,n-e-r-s,Match,250,,,
obey,o-b-a,Match,251,,,
obtain,o-b-tn,Match,252,,,
of these,o-th-e-s,Match,253,,,
of which,o-ch,Match,254,,,
off,o-f,Match,255,,,
often,o-f-n,Match,256,,,
on,o-n,Match,257,,,
on our,o-n-r,Match,258,,,
open,o-p-n,Match,259,,,
option,o-p-sh,Match,260,,,
our,r,Match,261,,,
ours,r-s,Match,262,,,
overcome,o/k-m,Match,263,,,
overflow,o/f-l-o,Match,264,,,
owe,o,Match,265,,,
owned,o-nt,Match,266,,,
package,p-a-k-j,Match,267,,,
palace,p-a-l-a-s,Match,268,,,
paper,p-a-p-r,Match,269,,,
parent,p-a-r-e-nt,Match,270,,,
patch,p-a-ch,Match,271,,,
pause,p-o-s,Match,272,,,
pay,p-a,Match,273,,,
permit,p-r-m-e-t,Match,274,,,
phrase,f-r-a-s,Match,275,,,
piano,p-ea-n-o,Match,276,,,
pie,p-i,Match,277,,,
pile,p-i-l,Match,278,,,
plain,p-l-a-n,Match,279,,,
plane,p-l-a-n,Match,280,,,
plant,p-l-a-nt,Match,281,,,
plenty,p-l-e-nt-e,Match,282,,,
plug,p-l-u-g,Match,283,,,
portion,p-o-r-sh,Match,284,,,
pretty,p-r-e-t-e,Match,285,,,
produce,p-r-o-d-u-s,Match,286,,,
quit,k-w-e-t,Match,287,,,
quote,k-w-o-t,Match,288,,,
race,r-a-s,Match,289,,,
rain,r-a-n,Match,290,,,
rank,r-a-nk,Match,291,,,
rapid,r-a-p-d,Match,292,,,
rapidly,r-a-p-d-e,Match,293,,,
ration,r-a-sh,Match,294,,,
reached,r-e-ch-t,Match,295,,,
reality,r-e/l,Match,296,,,
rear,r-e-r,Match,297,,,
reasonable,r-s2-n-b,Match,298,,,
reduce,r-e-d-u-s,Match,299,,,
reliable,r-e-l-i-b,Match,300,,,
rely,r-e-l-i,Match,301,,,
renew,r-e-n-u,Match,302,,,
rent,r-e-nt,Match,303,,,
repair,r-p-a-r,Match,304,,,
repayment,r-p-a-m,Match,305,,,
resigned,r-s2-i-nt,Match,306,,,
retail,r-e-t-a-l,Match,307,,,
reveal,r-v-e-l,Match,308,,,
ring,r-e-ng,Match,309,,,
rise,r-i-s,Match,310,,,
rolled,r-o-ld,Match,311,,,
roof,r-u-f,Match,312,,,
ruin,r-u-n,Match,313,,,
runner,r-n-r,Match,314,,,
sale,s-a-l,Match,315,,,
salt,s2-o-l-t,Match,316,,,
salvation,s-a-l-v-a-sh,Match,317,,,
sane,s2-a-n,Match,318,,,
save,s2-a-v,Match,319,,,
saw,s2-o,Match,320,,,
say,s-a,Match,321,,,
schedule,s2-k-e-d-l,Match,322,,,
sea,s-e,Match,323,,,
seal,s-e-l,Match,324,,,
seat,s2-e-t,Match,325,,,
second,s2-e-k-nt,Match,326,,,
secret,s2-e-k-r-e-t,Match,327,,,
section,s2-e-k-sh,Match,328,,,
secure,s2-e-k-r,Match,329,,,
see,s-e,Match,330,,,
seem,s2-e-m,Match,331,,,
seemed,s2-e-mt,Match,332,,,
sell,s-e-l,Match,333,,,
September,s-e-p,Match,334,,,
shade,sh-a-d,Match,335,,,
shame,sh-a-m,Match,336,,,
shape,sh-a-p,Match,337,,,
shed,sh-e-d,Match,338,,,
shop,sh-o-p,Match,339,,,
should be,sh-d-b,Match,340,,,
show,sh-o,Match,341,,,
silk,s-e-l-k,Match,342,,,
silly,s-e-l-e,Match,343,,,
sink,s2-e-nk,Match,344,,,
sit,s2-e-t,Match,345,,,
slide,s-l-i-d,Match,346,,,
snatch,s-n-a-ch,Match,347,,,
soil,s2-o-e-l,Match,348,,,
solve,s-o-l-v,Match,349,,,
some,s2-m,Match,350,,,
sorority,s2-o-r/r,Match,351,,,
sorry,s2-o-r-e,Match,352,,,
soul,s2-o-l,Match,353,,,
space,s-p-a-s,Match,354,,,
spare,s-p-a-r,Match,355,,,
spouse,s-p-a-u-s,Match,356,,,
staff,s2-t-a-f,Match,357,,,
stage,s2-t-a-j,Match,358,,,
station,s2-t-sh,Match,359,,,
steady,s2-td-e,Match,360,,,
steam,s2-t-e-m,Match,361,,,
store,s2-t-o-r,Match,362,,,
stove,s2-t-o-v,Match,363,,,
straighten,s2-t-r-a-tn,Match,364,,,
straw,s2-t-r-o,Match,365,,,
stream,s-t-r-e-m,Match,366,,,
suddenly,s2-u-tn-e,Match,367,,,
sum,s-m,Match,368,,,
swell,s2-u-e-l,Match,369,,,
swim,s2-u-e-m,Match,370,,,
table,t-a-b,Match,371,,,
taken,t-a-k-n,Match,372,,,
talk,t-o-k,Match,373,,,
teach,t-e-ch,Match,374,,,
team,t-e-m,Match,375,,,
technician,t-e-k-n-sh,Match,376,,,
teeth,t-e-th,Match,377,,,
the,th,Match,378,,,
their,th,Match,379,,,
theory,th-e-r-e,Match,380,,,
there are,th-r,Match,381,,,
therefore,th2-f,Match,382,,,
thick,th-e-k,Match,383,,,
this,th-s,Match,384,,,
this is,th-s-s,Match,385,,,
though,th-o,Match,386,,,
through the,th2-r-u-th,Match,387,,,
throw,th-r-o,Match,388,,,
Thursday,th-r-s,Match,389,,,
tip,t-e-p,Match,390,,,
to,t-u,Match,391,,,
toe,t-o,Match,392,,,
toil,t-o-e-l,Match,393,,,
tone,t-o-n,Match,394,,,
top,t-o-p,Match,395,,,
tore,t-o-r,Match,396,,,
toy,t-o-e,Match,397,,,
trained,t-r-a-nt,Match,398,,,
transformation,t/f-m-sh,Match,399,,,
transmit,t/m-e-t,Match,400,,,
transmitted,t/m-e-td,Match,401,,,
trick,t-r-e-k,Match,402,,,
trip,t-r-e-p,Match,403,,,
truck,t-r-u-k,Match,404,,,
TRUE,t-r-u,Match,405,,,
try,t-r-i,Match,406,,,
two,t-u,Match,407,,,
typical,t-e-p/k,Match,408,,,
undertake,u/t-a-k,Match,409,,,
up,u-p,Match,410,,,
upper,u-p-r,Match,411,,,
utility,e-u-t/l,Match,412,,,
utilize,e-u-t-l-i-s,Match,413,,,
vacancy,v-a-k-n-s-e,Match,414,,,
vain,v-a-n,Match,415,,,
varied,v-a-r-e-d,Match,416,,,
vault,v-o-l-t,Match,417,,,
vice,v-i-s,Match,418,,,
village,v-e-l-j,Match,419,,,
voice,v-o-e-s,Match,420,,,
vowed,v-a-u-d,Match,421,,,
waist,u-a-s2-t,Match,422,,,
walk,u-o-k,Match,423,,,
wall,u-o-l,Match,424,,,
watch,u-o-ch,Match,425,,,
watched,u-o-ch-t,Match,426,,,
we,u-e,Match,427,,,
we will,u-e-l,Match,428,,,
weary,u-e-r-e,Match,429,,,
Wednesday,u-e-n-s,Match,430,,,
weight,u-a-t,Match,431,,,
were,e-r,Match,432,,,
wheel,h-u-e-l,Match,433,,,
when,e-n,Match,434,,,
where,a-r,Match,435,,,
white,h-u-i-t,Match,436,,,
who have,h-u-v,Match,437,,,
whole,h-o-l,Match,438,,,
whose,h-u-s,Match,439,,,
will,l,Match,440,,,
win,u-e-n,Match,441,,,
wind,u-e-nt,Match,442,,,
wise,u-i-s,Match,443,,,
wisely,u-i-s-e,Match,444,,,
with,e-th,Match,445,,,
with the,e-th-th,Match,446,,,
with us,e-th-u-s,Match,447,,,
would,d,Match,448,,,
written,r-e-tn,Match,449,,,
wrong,r-o-ng,Match,450,,,
yesterday,e-s-t,Match,451,,,
you,u,Match,452,,,
you have,u-v,Match,453,,,
you may,u-m-a,Match,454,,,
