text,gst
"pause","p-o-s"
"pay","p-a"
"permit","p-r-m-e-t"
"phrase","f-r-a-s"
"piano","p-ea-n-o"
"pie","p-i"
"pile","p-i-l"
"plain","p-l-a-n"
"plane","p-l-a-n"
"plant","p-l-a-nt"
"plenty","p-l-e-nt-e"
"plug","p-l-u-g"
"portion","p-o-r-sh"
"pretty","p-r-e-t-e"
"produce","p-r-o-d-u-s"
"quit","k-w-e-t"
"quote","k-w-o-t"
"race","r-a-s"
"rain","r-a-n"
"rank","r-a-nk"
"rapid","r-a-p-d"
"rapidly","r-a-p-d-e"
"ration","r-a-sh"
"reached","r-e-ch-t"
"reality","r-e/l"
"rear","r-e-r"
"reasonable","r-s2-n-b"
"reduce","r-e-d-u-s"
"reliable","r-e-l-i-b"
"rely","r-e-l-i"
"renew","r-e-n-u"
"rent","r-e-nt"
"repair","r-p-a-r"
"repayment","r-p-a-m"
"resigned","r-s2-i-nt"
"retail","r-e-t-a-l"
"reveal","r-v-e-l"
"ring","r-e-ng"
"rise","r-i-s"
"rolled","r-o-ld"
"roof","r-u-f"
"ruin","r-u-n"
"runner","r-n-r"
"sale","s-a-l"
"salt","s2-o-l-t"
"salvation","s-a-l-v-a-sh"
"sane","s2-a-n"
"save","s2-a-v"
"saw","s2-o"
"say","s-a"
"schedule","s2-k-e-d-l"
"sea","s-e"
"seal","s-e-l"
"seat","s2-e-t"
"second","s2-e-k-nt"
"secret","s2-e-k-r-e-t"
"section","s2-e-k-sh"
"secure","s2-e-k-r"
"see","s-e"
"seem","s2-e-m"
"seemed","s2-e-mt"
"sell","s-e-l"
"September","s-e-p"
"shade","sh-a-d"
"shame","sh-a-m"
"shape","sh-a-p"
"shed","sh-e-d"
"shop","sh-o-p"
"should be","sh-d-b"
"show","sh-o"
"silk","s-e-l-k"
"silly","s-e-l-e"
"sink","s2-e-nk"
"sit","s2-e-t"
"slide","s-l-i-d"
"snatch","s-n-a-ch"
"soil","s2-o-e-l"
"solve","s-o-l-v"
"some","s2-m"
"sorority","s2-o-r/r"
"sorry","s2-o-r-e"
"soul","s2-o-l"
"space","s-p-a-s"
"spare","s-p-a-r"
"spouse","s-p-a-u-s"
"staff","s2-t-a-f"
"stage","s2-t-a-j"
"station","s2-t-sh"
"steady","s2-td-e"
"steam","s2-t-e-m"
"store","s2-t-o-r"
"stove","s2-t-o-v"
"straighten","s2-t-r-a-tn"
"straw","s2-t-r-o"
"stream","s-t-r-e-m"
"suddenly","s2-u-tn-e"
"sum","s-m"
"swell","s2-u-e-l"
"swim","s2-u-e-m"
"table","t-a-b"
"taken","t-a-k-n"
"talk","t-o-k"
"teach","t-e-ch"
"team","t-e-m"
"technician","t-e-k-n-sh"
"teeth","t-e-th"
"the","th"
"their","th"
"theory","th-e-r-e"
"there are","th-r"
"therefore","th2-f"
"thick","th-e-k"
"this","th-s"
"this is","th-s-s"
"though","th-o"
"through the","th2-r-u-th"
"throw","th-r-o"
"Thursday","th-r-s"
"tip","t-e-p"
"to","t-u"
"toe","t-o"
"toil","t-o-e-l"
"tone","t-o-n"
"top","t-o-p"
"tore","t-o-r"
"toy","t-o-e"
"trained","t-r-a-nt"
"transformation","t/f-m-sh"
"transmit","t/m-e-t"
"transmitted","t/m-e-td"
"trick","t-r-e-k"
"trip","t-r-e-p"
"truck","t-r-u-k"
"true","t-r-u"
"try","t-r-i"
"two","t-u"
"typical","t-e-p/k"
"undertake","u/t-a-k"
"up","u-p"
"upper","u-p-r"
"utility","e-u-t/l"
"utilize","e-u-t-l-i-s"
"vacancy","v-a-k-n-s-e"
"vain","v-a-n"
"varied","v-a-r-e-d"
"vault","v-o-l-t"
"vice","v-i-s"
"village","v-e-l-j"
"voice","v-o-e-s"
"vowed","v-a-u-d"
"waist","u-a-s2-t"
"walk","u-o-k"
"wall","u-o-l"
"watch","u-o-ch"
"watched","u-o-ch-t"
"we","u-e"
"we will","u-e-l"
"weary","u-e-r-e"
"Wednesday","u-e-n-s"
"weight","u-a-t"
"were","e-r"
"wheel","h-u-e-l"
"when","e-n"
"where","a-r"
"white","h-u-i-t"
"who have","h-u-v"
"whole","h-o-l"
"whose","h-u-s"
"will","l"
"win","u-e-n"
"wind","u-e-nt"
"wise","u-i-s"
"wisely","u-i-s-e"
"with","e-th"
"with the","e-th-th"
"with us","e-th-u-s"
"would","d"
"written","r-e-tn"
"wrong","r-o-ng"
"yesterday","e-s-t"
"you","u"
"you have","u-v"
"you may","u-m-a"
